ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Quero;;;;;;;;;;;;;
Coordinata X 1727966 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5089998 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 252 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2001;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2002;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;383;80;463
2003;82;0.6;6.6;116.6;32.2;134.8;49.2;86.6;41.8;161.8;248.8;138.4;1099.4
2004;5.6;97.6;73.2;97;203;130.2;76.4;305.2;97.2;249.6;97.2;86.4;1518.6
2005;1.2;12;22.4;140.4;84;84.2;112;118.2;193.6;192;111.4;78.2;1149.6
2006;38.4;42.8;47.6;135.6;140.8;34.8;81.2;252.2;144;23.8;11.2;160.6;1113
2007;100.8;40.8;132.4;14.8;165.4;168.6;94.8;142;115.4;68.4;157.2;6;1206.6
2008;160;48.4;77;185.6;233;153.8;88.4;170.6;160.2;170.2;211;239.8;1898
2009;156;140;213.8;172;43;77.4;87.6;85.4;207.4;104.2;182.2;241.2;1710.2
2010;64.4;107.2;109.4;51.2;360.2;150.4;114.8;144.4;145.6;428.6;454.6;260.2;2391
2011;33.6;59.8;156.6;35.6;108.6;308;146.4;20.8;109.4;237.8;206.4;30;1453
2012;11;11.2;17.2;154.8;164.2;121.4;130.8;103;224.4;154.8;479.2;30.8;1602.8
2013;93.8;40;203.4;104;302.8;69.6;116.8;75.4;48.8;148;181.2;171;1554.8
