ARPAV Centro Meteorologico di Teolo;;;;;;;;;;;;;
;;;;;;;;;;;;;
Bollettino dei valori mensili pluriennali;;;;;;;;;;;;;
;;;;;;;;;;;;;
Stazione Breda di Piave;;;;;;;;;;;;;
Coordinata X 1759797 Gauss-Boaga fuso;;;;;;;;;;;;;
Coordinata Y 5068144 Ovest (EPSG:3003);;;;;;;;;;;;;
Quota della stazione 22 m s.l.m.;;;;;;;;;;;;;
Parametro Precipitazione (mm) somma;;;;;;;;;;;;;
Valori dal 1 gennaio 1994 al 31 dicembre 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;Somma
;;;;;;;;;;;;;annuale
1994;82.8;46;2.8;115.2;52.2;78.4;50.4;69.8;169;58.2;67.8;23.4;816
1995;45.4;69.6;60.8;69.4;185.4;120.4;98.4;117.6;302.6;4.6;22.8;77.4;1174.4
1996;53.6;38;7.4;128.4;65.6;82.4;71.6;146.8;65.8;190.2;136;113.2;1099
1997;86.6;0.8;15;63.4;39.4;93.2;50.8;52;59.4;12.2;142.6;139;754.4
1998;31;7.4;5;140.8;59.2;109;82;16.4;155.8;180.2;29.6;11.6;828
1999;39.4;20.6;78.6;139.8;86.4;99.8;88.8;51.2;31.4;125.8;131;79.4;972.2
2000;1.8;3.8;83.4;62.6;100.8;59.2;63;48.6;89.4;121.2;195.6;63.2;892.6
2001;105;7.4;137.6;73.2;124.4;83;62.6;29.2;107.2;40.8;53;1.2;824.6
2002;44.6;76.6;9.4;114.6;144.6;95;139.8;126.4;100.8;166.8;122.2;55.6;1196.4
2003;53.6;13;2.6;128;47.4;47;36.8;68.4;45;81.4;173.8;116;813
2004;42.8;178.8;34.8;65;224;84.4;53;106.2;84.6;108.2;70.6;96.8;1149.2
2005;2;0.4;4.6;131.2;80.2;64;63.8;210.6;174.8;163;164.4;53.6;1112.6
2006;34;32.2;52.8;101.6;68.4;15.2;76;168.2;172;16.8;51.2;90.8;879.2
2007;33.6;59.8;95.4;1;122;178.8;35;126.2;181.8;50;41.8;24.6;950
2008;122.4;47.2;89.6;106.4;136.8;128.4;68;82.4;86.6;77.6;165;226.8;1337.2
2009;100.8;91.2;206.4;104.4;46.4;133;76.4;33.2;138.6;50.2;144;173;1297.6
2010;92.2;135.2;35.2;33.8;160.4;159.2;70.8;74.8;138.8;108.4;221.8;175.8;1406.4
2011;26.6;57;145.6;15.8;70.8;109.2;190.8;3.4;85.6;102.6;98;40.2;945.6
2012;16.2;19.4;11.2;128.6;140.6;46.2;32.4;35;98.4;106.8;202.8;57;894.6
